Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
oktow, lat,lon:387126800, 22.5798184217, 113.9265842244,4,12 
 tow, lat,lon:387126900, 22.5798184269, 113.9265842203,4,12 
 tow, lat,lon:387127000, 22.5798184249, 113.9265842169,4,12 
 tow, lat,lon:387127100, 22.5798184284, 113.9265842241,4,12 
 tow, lat,lon:387127200, 22.5798184265, 113.9265842165,4,12 
 tow, lat,lon:387127300, 22.5798184255, 113.9265842172,4,12 
 tow, lat,lon:387127400, 22.5798184302, 113.9265842215,4,12 
 tow, lat,lon:387127500, 22.5798184279, 113.9265842106,4,12 
 tow, lat,lon:387127600, 22.5798184302, 113.9265842167,4,12 
 tow, lat,lon:387128000, 22.5798184369, 113.9265842036,4,12 
 tow, lat,lon:387128100, 22.5798184413, 113.9265842046,4,12 
 tow, lat,lon:387128200, 22.5798184451, 113.9265842016,4,12 
 tow, lat,lon:387128300, 22.5798184348, 113.9265841846,4,12 
 tow, lat,lon:387128400, 22.5798184405, 113.9265842064,4,12 
 tow, lat,lon:387128500, 22.5798184448, 113.9265842112,4,12 
 tow, lat,lon:387128600, 22.5798184506, 113.9265842085,4,12 
 tow, lat,lon:387128700, 22.5798184471, 113.9265842017,4,12 
 tow, lat,lon:387128800, 22.5798184472, 113.9265842048,4,12 
 tow, lat,lon:387128900, 22.5798184543, 113.9265842115,4,12 
 tow, lat,lon:387129000, 22.5798184566, 113.9265842063,4,12 
 tow, lat,lon:387129100, 22.5798184505, 113.9265841938,4,12 
 tow, lat,lon:387129200, 22.5798184535, 113.9265842018,4,12 
 tow, lat,lon:387129300, 22.5798184486, 113.9265841974,4,12 
 tow, lat,lon:387129400, 22.5798184558, 113.9265841956,4,12 
 tow, lat,lon:387129500, 22.5798184486, 113.9265841920,4,12 
 tow, lat,lon:387129600, 22.5798184646, 113.9265841899,4,12 
 tow, lat,lon:387129700, 22.5798184553, 113.9265841824,4,12 
 tow, lat,lon:387129800, 22.5798184606, 113.9265841809,4,12 
 tow, lat,lon:387129900, 22.5798184685, 113.9265841798,4,12 
 tow, lat,lon:387130000, 22.5798184550, 113.9265841813,4,12 
 tow, lat,lon:387130100, 22.5798184691, 113.9265841795,4,12 
 tow, lat,lon:387130200, 22.5798184662, 113.9265841782,4,12 
 tow, lat,lon:387130300, 22.5798184624, 113.9265841769,4,12 
 tow, lat,lon:387130400, 22.5798184274, 113.9265842056,4,12 
 tow, lat,lon:387130500, 22.5798184354, 113.9265842134,4,12 
 tow, lat,lon:387130600, 22.5798184363, 113.9265842095,4,12 
 tow, lat,lon:387130700, 22.5798184454, 113.9265842079,4,12 
 tow, lat,lon:387130800, 22.5798184320, 113.9265841954,4,12 
 tow, lat,lon:387130900, 22.5798184349, 113.9265842011,4,12 
 tow, lat,lon:387131000, 22.5798184431, 113.9265842029,4,12 
 tow, lat,lon:387131100, 22.5798184488, 113.9265841958,4,12 
 tow, lat,lon:387131200, 22.5798184419, 113.9265841920,4,12 
 tow, lat,lon:387131300, 22.5798184428, 113.9265841978,4,12 
 tow, lat,lon:387131400, 22.5798184379, 113.9265841961,4,12 
 tow, lat,lon:387131500, 22.5798184463, 113.9265842020,4,12 
 tow, lat,lon:387131600, 22.5798184458, 113.9265841972,4,12 
 tow, lat,lon:387132000, 22.5798184329, 113.9265841980,4,12 
 tow, lat,lon:387132100, 22.5798184422, 113.9265841920,4,12 
 tow, lat,lon:387132200, 22.5798184322, 113.9265841890,4,12 
 tow, lat,lon:387132300, 22.5798184341, 113.9265842012,4,12 
 tow, lat,lon:387132400, 22.5798184231, 113.9265842163,4,12 
 tow, lat,lon:387132500, 22.5798184266, 113.9265842182,4,12 
 tow, lat,lon:387132600, 22.5798184215, 113.9265842177,4,12 
 tow, lat,lon:387132700, 22.5798184278, 113.9265842141,4,12 
 tow, lat,lon:387132800, 22.5798184268, 113.9265842046,4,12 
 tow, lat,lon:387132900, 22.5798184268, 113.9265841997,4,12 
 tow, lat,lon:387133000, 22.5798184261, 113.9265842056,4,12 
 tow, lat,lon:387133100, 22.5798184303, 113.9265841982,4,12 
 tow, lat,lon:387133200, 22.5798184302, 113.9265841873,4,12 
 tow, lat,lon:387133300, 22.5798184270, 113.9265841912,4,12 
 tow, lat,lon:387133400, 22.5798184367, 113.9265841990,4,12 
 tow, lat,lon:387133500, 22.5798184330, 113.9265841879,4,12 
 tow, lat,lon:387133600, 22.5798184266, 113.9265841793,4,12 
 tow, lat,lon:387133700, 22.5798184325, 113.9265841809,4,12 
 tow, lat,lon:387133800, 22.5798184341, 113.9265841809,4,12 
 tow, lat,lon:387133900, 22.5798184297, 113.9265841821,4,12 
 tow, lat,lon:387134000, 22.5798184287, 113.9265841794,4,12 
 tow, lat,lon:387134100, 22.5798184321, 113.9265841717,4,12 
 tow, lat,lon:387134200, 22.5798184406, 113.9265841706,4,12 
 tow, lat,lon:387134300, 22.5798184487, 113.9265841632,4,12 
 tow, lat,lon:387134400, 22.5798184181, 113.9265842115,4,12 
 tow, lat,lon:387134500, 22.5798184264, 113.9265842086,4,12 
 tow, lat,lon:387134600, 22.5798184309, 113.9265842001,4,12 
 tow, lat,lon:387134700, 22.5798184213, 113.9265842127,4,12 
 tow, lat,lon:387134800, 22.5798184263, 113.9265842036,4,12 
 tow, lat,lon:387134900, 22.5798184243, 113.9265841989,4,12 
 tow, lat,lon:387135000, 22.5798184222, 113.9265841987,4,12 
 tow, lat,lon:387135100, 22.5798184316, 113.9265842019,4,12 
 tow, lat,lon:387135200, 22.5798184316, 113.9265842003,4,12 
 tow, lat,lon:387135300, 22.5798184347, 113.9265841987,4,12 
 tow, lat,lon:387135400, 22.5798184280, 113.9265841936,4,12 
 tow, lat,lon:387135500, 22.5798184276, 113.9265841903,4,12 
 tow, lat,lon:387135600, 22.5798184272, 113.9265841983,4,12 
 tow, lat,lon:387136000, 22.5798184302, 113.9265842024,4,12 
 tow, lat,lon:387136100, 22.5798184320, 113.9265842011,4,12 
 tow, lat,lon:387136200, 22.5798184319, 113.9265841988,4,12 
 tow, lat,lon:387136300, 22.5798184364, 113.9265841896,4,12 
 tow, lat,lon:387136400, 22.5798184162, 113.9265842132,4,12 
 tow, lat,lon:387136500, 22.5798184086, 113.9265842203,4,12 
 tow, lat,lon:387136600, 22.5798184178, 113.9265842100,4,12 
 tow, lat,lon:387136700, 22.5798184196, 113.9265842028,4,12 
 tow, lat,lon:387136800, 22.5798184186, 113.9265842036,4,12 
 tow, lat,lon:387136900, 22.5798184175, 113.9265841971,4,12 
 tow, lat,lon:387137000, 22.5798184116, 113.9265841950,4,12 
 tow, lat,lon:387137100, 22.5798184227, 113.9265841955,4,12 
 tow, lat,lon:387137200, 22.5798184165, 113.9265841846,4,12 
 tow, lat,lon:387137300, 22.5798184203, 113.9265841873,4,12 
