Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
oktow, lat,lon:309357900, 22.5798094199, 113.9265948878,4,11 
 tow, lat,lon:309358000, 22.5798094190, 113.9265949019,4,11 
 tow, lat,lon:309358100, 22.5798094181, 113.9265948988,4,11 
 tow, lat,lon:309358200, 22.5798094153, 113.9265948951,4,11 
 tow, lat,lon:309358300, 22.5798094246, 113.9265949091,4,11 
 tow, lat,lon:309358400, 22.5798094231, 113.9265949077,4,11 
 tow, lat,lon:309358500, 22.5798094147, 113.9265949188,4,11 
 tow, lat,lon:309358600, 22.5798094081, 113.9265949149,4,11 
 tow, lat,lon:309358700, 22.5798094118, 113.9265949084,4,11 
 tow, lat,lon:309358800, 22.5798094154, 113.9265949152,4,11 
 tow, lat,lon:309358900, 22.5798094247, 113.9265949278,4,11 
 tow, lat,lon:309359000, 22.5798094145, 113.9265949231,4,11 
 tow, lat,lon:309359100, 22.5798094068, 113.9265949230,4,11 
 tow, lat,lon:309359200, 22.5798094136, 113.9265949237,4,11 
 tow, lat,lon:309359300, 22.5798094122, 113.9265949266,4,11 
 tow, lat,lon:309359400, 22.5798094146, 113.9265949315,4,11 
 tow, lat,lon:309359500, 22.5798094142, 113.9265949350,4,11 
 tow, lat,lon:309359600, 22.5798094086, 113.9265949288,4,11 
 tow, lat,lon:309359700, 22.5798094095, 113.9265949370,4,11 
 tow, lat,lon:309359800, 22.5798094047, 113.9265949279,4,11 
 tow, lat,lon:309359900, 22.5798094142, 113.9265949338,4,11 
 tow, lat,lon:309360000, 22.5798094119, 113.9265949361,4,11 
 tow, lat,lon:309360100, 22.5798094480, 113.9265948746,4,11 
 tow, lat,lon:309360200, 22.5798094507, 113.9265948723,4,11 
 tow, lat,lon:309360300, 22.5798094610, 113.9265948932,4,11 
 tow, lat,lon:309360400, 22.5798094538, 113.9265948734,4,11 
 tow, lat,lon:309360500, 22.5798094599, 113.9265948725,4,11 
 tow, lat,lon:309360600, 22.5798094672, 113.9265948690,4,11 
 tow, lat,lon:309360700, 22.5798094665, 113.9265948724,4,11 
 tow, lat,lon:309360800, 22.5798094657, 113.9265948742,4,11 
 tow, lat,lon:309360900, 22.5798094730, 113.9265948636,4,11 
 tow, lat,lon:309361000, 22.5798094764, 113.9265948667,4,11 
 tow, lat,lon:309361100, 22.5798094723, 113.9265948700,4,11 
 tow, lat,lon:309361200, 22.5798094889, 113.9265948625,4,11 
 tow, lat,lon:309361300, 22.5798094952, 113.9265948694,4,11 
 tow, lat,lon:309361400, 22.5798094950, 113.9265948607,4,11 
 tow, lat,lon:309361500, 22.5798094933, 113.9265948581,4,11 
 tow, lat,lon:309361600, 22.5798094976, 113.9265948622,4,11 
 tow, lat,lon:309361700, 22.5798095054, 113.9265948532,4,11 
 tow, lat,lon:309361800, 22.5798095094, 113.9265948593,4,11 
 tow, lat,lon:309361900, 22.5798094980, 113.9265948508,4,11 
 tow, lat,lon:309362000, 22.5798095027, 113.9265948432,4,11 
 tow, lat,lon:309362100, 22.5798094508, 113.9265948446,4,11 
 tow, lat,lon:309362200, 22.5798094560, 113.9265948415,4,11 
 tow, lat,lon:309362300, 22.5798094531, 113.9265948399,4,11 
 tow, lat,lon:309362400, 22.5798094552, 113.9265948423,4,11 
 tow, lat,lon:309362500, 22.5798094638, 113.9265948459,4,11 
 tow, lat,lon:309362600, 22.5798094579, 113.9265948328,4,11 
 tow, lat,lon:309362700, 22.5798094575, 113.9265948412,4,11 
 tow, lat,lon:309362800, 22.5798094544, 113.9265948323,4,11 
 tow, lat,lon:309362900, 22.5798094561, 113.9265948366,4,11 
 tow, lat,lon:309363000, 22.5798094551, 113.9265948396,4,11 
 tow, lat,lon:309363100, 22.5798094536, 113.9265948337,4,11 
 tow, lat,lon:309363200, 22.5798094549, 113.9265948350,4,11 
 tow, lat,lon:309363300, 22.5798094570, 113.9265948362,4,11 
 tow, lat,lon:309363400, 22.5798094592, 113.9265948392,4,11 
 tow, lat,lon:309363500, 22.5798094571, 113.9265948449,4,11 
 tow, lat,lon:309363600, 22.5798094508, 113.9265948462,4,11 
 tow, lat,lon:309363700, 22.5798094498, 113.9265948360,4,11 
 tow, lat,lon:309363800, 22.5798094492, 113.9265948348,4,11 
 tow, lat,lon:309363900, 22.5798094540, 113.9265948538,4,11 
 tow, lat,lon:309364000, 22.5798094487, 113.9265948334,4,11 
 tow, lat,lon:309364100, 22.5798094585, 113.9265948573,4,11 
 tow, lat,lon:309364200, 22.5798094534, 113.9265948499,4,11 
 tow, lat,lon:309364300, 22.5798094469, 113.9265948499,4,11 
 tow, lat,lon:309364400, 22.5798094601, 113.9265948554,4,11 
 tow, lat,lon:309364500, 22.5798094475, 113.9265948578,4,11 
 tow, lat,lon:309364600, 22.5798094547, 113.9265948599,4,11 
 tow, lat,lon:309364700, 22.5798094495, 113.9265948522,4,11 
 tow, lat,lon:309364800, 22.5798094575, 113.9265948609,4,11 
 tow, lat,lon:309364900, 22.5798094481, 113.9265948568,4,11 
 tow, lat,lon:309365000, 22.5798094550, 113.9265948590,4,11 
 tow, lat,lon:309365100, 22.5798094421, 113.9265948486,4,11 
 tow, lat,lon:309365200, 22.5798094441, 113.9265948572,4,11 
 tow, lat,lon:309365300, 22.5798094543, 113.9265948537,4,11 
 tow, lat,lon:309365400, 22.5798094481, 113.9265948550,4,11 
 tow, lat,lon:309365500, 22.5798094488, 113.9265948510,4,11 
 tow, lat,lon:309365600, 22.5798094529, 113.9265948492,4,11 
 tow, lat,lon:309365700, 22.5798094531, 113.9265948470,4,11 
 tow, lat,lon:309365800, 22.5798094516, 113.9265948488,4,11 
 tow, lat,lon:309365900, 22.5798094613, 113.9265948453,4,11 
 tow, lat,lon:309366000, 22.5798094565, 113.9265948311,4,11 
 tow, lat,lon:309366100, 22.5798094550, 113.9265948324,4,11 
 tow, lat,lon:309366200, 22.5798094609, 113.9265948323,4,11 
 tow, lat,lon:309366300, 22.5798094767, 113.9265948162,4,11 
 tow, lat,lon:309366400, 22.5798094809, 113.9265948156,4,11 
 tow, lat,lon:309366500, 22.5798094767, 113.9265948047,4,11 
 tow, lat,lon:309366600, 22.5798094767, 113.9265948003,4,11 
 tow, lat,lon:309366700, 22.5798094784, 113.9265947974,4,11 
 tow, lat,lon:309366800, 22.5798094832, 113.9265948055,4,11 
 tow, lat,lon:309366900, 22.5798094732, 113.9265947972,4,11 
 tow, lat,lon:309367000, 22.5798094808, 113.9265947954,4,11 
 tow, lat,lon:309367100, 22.5798094763, 113.9265948027,4,11 
 tow, lat,lon:309367200, 22.5798094796, 113.9265947973,4,11 
 tow, lat,lon:309367300, 22.5798094904, 113.9265948014,4,11 
 tow, lat,lon:309367400, 22.5798094895, 113.9265947943,4,11 
 tow, lat,lon:309367500, 22.5798094818, 113.9265947804,4,11 
 tow, lat,lon:309367600, 22.5798094871, 113.9265947855,4,11 
 tow, lat,lon:309367700, 22.5798094889, 113.9265947784,4,11 
 tow, lat,lon:309367800, 22.5798094780, 113.9265947839,4,11 
 tow, lat,lon:309367900, 22.5798094793, 113.9265947869,4,11 
 tow, lat,lon:309368000, 22.5798094876, 113.9265947847,4,11 
 tow, lat,lon:309368100, 22.5798094770, 113.9265947827,4,11 
 tow, lat,lon:309368200, 22.5798094843, 113.9265947790,4,11 
 tow, lat,lon:309368300, 22.5798094585, 113.9265948380,4,11 
