Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
oktow, lat,lon:223076000, 22.5798119826, 113.9265577750,4,12 
 tow, lat,lon:223076100, 22.5798119784, 113.9265577728,4,12 
 tow, lat,lon:223076200, 22.5798119874, 113.9265577672,4,12 
 tow, lat,lon:223076300, 22.5798119749, 113.9265577630,4,12 
 tow, lat,lon:223076400, 22.5798119786, 113.9265577634,4,12 
 tow, lat,lon:223076500, 22.5798119828, 113.9265577761,4,12 
 tow, lat,lon:223076600, 22.5798119831, 113.9265577639,4,12 
 tow, lat,lon:223076700, 22.5798119797, 113.9265577728,4,12 
 tow, lat,lon:223076800, 22.5798119856, 113.9265577813,4,12 
 tow, lat,lon:223076900, 22.5798119769, 113.9265577816,4,12 
 tow, lat,lon:223077000, 22.5798119790, 113.9265577773,4,12 
 tow, lat,lon:223077100, 22.5798119721, 113.9265577785,4,12 
 tow, lat,lon:223077200, 22.5798119751, 113.9265577861,4,12 
 tow, lat,lon:223077300, 22.5798119781, 113.9265577852,4,12 
 tow, lat,lon:223077400, 22.5798119765, 113.9265577902,4,12 
 tow, lat,lon:223077500, 22.5798119632, 113.9265577846,4,12 
 tow, lat,lon:223077600, 22.5798119859, 113.9265577893,4,12 
 tow, lat,lon:223077700, 22.5798119709, 113.9265577840,4,12 
 tow, lat,lon:223077800, 22.5798119747, 113.9265577901,4,12 
 tow, lat,lon:223077900, 22.5798119699, 113.9265577792,4,12 
 tow, lat,lon:223078000, 22.5798119837, 113.9265577682,4,12 
 tow, lat,lon:223078100, 22.5798119881, 113.9265577710,4,12 
 tow, lat,lon:223078200, 22.5798119816, 113.9265577679,4,12 
 tow, lat,lon:223078300, 22.5798119821, 113.9265577762,4,12 
 tow, lat,lon:223078400, 22.5798119856, 113.9265577645,4,12 
 tow, lat,lon:223078500, 22.5798119864, 113.9265577723,4,12 
 tow, lat,lon:223078600, 22.5798119844, 113.9265577714,4,12 
 tow, lat,lon:223078700, 22.5798119769, 113.9265577718,4,12 
 tow, lat,lon:223078800, 22.5798119826, 113.9265577675,4,12 
 tow, lat,lon:223078900, 22.5798119818, 113.9265577642,4,12 
 tow, lat,lon:223079000, 22.5798119897, 113.9265577712,4,12 
 tow, lat,lon:223079100, 22.5798119856, 113.9265577577,4,12 
 tow, lat,lon:223079200, 22.5798119842, 113.9265577679,4,12 
 tow, lat,lon:223079300, 22.5798119854, 113.9265577654,4,12 
 tow, lat,lon:223079400, 22.5798119802, 113.9265577605,4,12 
 tow, lat,lon:223079500, 22.5798119822, 113.9265577641,4,12 
 tow, lat,lon:223079600, 22.5798119820, 113.9265577642,4,12 
 tow, lat,lon:223079700, 22.5798119772, 113.9265577645,4,12 
 tow, lat,lon:223079800, 22.5798119996, 113.9265577716,4,12 
 tow, lat,lon:223079900, 22.5798119903, 113.9265577744,4,12 
 tow, lat,lon:223080000, 22.5798119846, 113.9265577676,4,12 
 tow, lat,lon:223080100, 22.5798119837, 113.9265577737,4,12 
 tow, lat,lon:223080200, 22.5798119879, 113.9265577670,4,12 
 tow, lat,lon:223080300, 22.5798119871, 113.9265577719,4,12 
 tow, lat,lon:223080400, 22.5798119933, 113.9265577752,4,12 
 tow, lat,lon:223080500, 22.5798119788, 113.9265577719,4,12 
 tow, lat,lon:223080600, 22.5798120031, 113.9265577769,4,12 
 tow, lat,lon:223080700, 22.5798119954, 113.9265577712,4,12 
 tow, lat,lon:223080800, 22.5798119976, 113.9265577736,4,12 
 tow, lat,lon:223080900, 22.5798119903, 113.9265577795,4,12 
 tow, lat,lon:223081000, 22.5798119985, 113.9265577749,4,12 
 tow, lat,lon:223081100, 22.5798119922, 113.9265577731,4,12 
 tow, lat,lon:223081200, 22.5798120002, 113.9265577758,4,12 
 tow, lat,lon:223081300, 22.5798119994, 113.9265577854,4,12 
 tow, lat,lon:223081400, 22.5798119998, 113.9265577790,4,12 
 tow, lat,lon:223081500, 22.5798120081, 113.9265577846,4,12 
 tow, lat,lon:223081600, 22.5798120112, 113.9265577901,4,12 
 tow, lat,lon:223081700, 22.5798120031, 113.9265577940,4,12 
 tow, lat,lon:223081800, 22.5798120132, 113.9265577978,4,12 
 tow, lat,lon:223081900, 22.5798119888, 113.9265577846,4,12 
 tow, lat,lon:223082000, 22.5798119895, 113.9265577811,4,12 
 tow, lat,lon:223082100, 22.5798119934, 113.9265577864,4,12 
 tow, lat,lon:223082200, 22.5798119948, 113.9265577828,4,12 
 tow, lat,lon:223082300, 22.5798119935, 113.9265577967,4,12 
 tow, lat,lon:223082400, 22.5798120035, 113.9265577904,4,12 
 tow, lat,lon:223082500, 22.5798119947, 113.9265577971,4,12 
 tow, lat,lon:223082600, 22.5798119927, 113.9265577954,4,12 
 tow, lat,lon:223082700, 22.5798120095, 113.9265578027,4,12 
 tow, lat,lon:223082800, 22.5798119943, 113.9265577990,4,12 
 tow, lat,lon:223082900, 22.5798119931, 113.9265578122,4,12 
 tow, lat,lon:223083000, 22.5798119992, 113.9265578093,4,12 
 tow, lat,lon:223083100, 22.5798120047, 113.9265578175,4,12 
 tow, lat,lon:223083200, 22.5798120058, 113.9265578116,4,12 
 tow, lat,lon:223083300, 22.5798119976, 113.9265578138,4,12 
 tow, lat,lon:223083400, 22.5798120039, 113.9265578196,4,12 
 tow, lat,lon:223083500, 22.5798120097, 113.9265578165,4,12 
 tow, lat,lon:223083600, 22.5798120024, 113.9265578151,4,12 
 tow, lat,lon:223083700, 22.5798119947, 113.9265578212,4,12 
 tow, lat,lon:223083800, 22.5798119953, 113.9265578217,4,12 
 tow, lat,lon:223083900, 22.5798120190, 113.9265578251,4,12 
 tow, lat,lon:223084000, 22.5798120033, 113.9265578261,4,12 
 tow, lat,lon:223084100, 22.5798120130, 113.9265578215,4,12 
 tow, lat,lon:223084200, 22.5798119960, 113.9265577774,4,12 
 tow, lat,lon:223084300, 22.5798119992, 113.9265577782,4,12 
 tow, lat,lon:223084400, 22.5798120053, 113.9265577811,4,12 
 tow, lat,lon:223084500, 22.5798119946, 113.9265577804,4,12 
 tow, lat,lon:223084600, 22.5798119932, 113.9265577812,4,12 
 tow, lat,lon:223084700, 22.5798119955, 113.9265577817,4,12 
 tow, lat,lon:223084800, 22.5798119964, 113.9265577888,4,12 
 tow, lat,lon:223084900, 22.5798119911, 113.9265577845,4,12 
 tow, lat,lon:223085000, 22.5798119982, 113.9265577860,4,12 
 tow, lat,lon:223085100, 22.5798119989, 113.9265577810,4,12 
 tow, lat,lon:223085200, 22.5798119919, 113.9265577792,4,12 
 tow, lat,lon:223085300, 22.5798119946, 113.9265577898,4,12 
 tow, lat,lon:223085400, 22.5798119944, 113.9265577823,4,12 
 tow, lat,lon:223085500, 22.5798119946, 113.9265577809,4,12 
 tow, lat,lon:223085600, 22.5798119817, 113.9265577824,4,12 
 tow, lat,lon:223085700, 22.5798119923, 113.9265577828,4,12 
 tow, lat,lon:223085800, 22.5798119880, 113.9265577818,4,12 
 tow, lat,lon:223085900, 22.5798119798, 113.9265577827,4,12 
 tow, lat,lon:223086000, 22.5798119910, 113.9265577855,4,12 
 tow, lat,lon:223086100, 22.5798119764, 113.9265577913,4,12 
 tow, lat,lon:223086200, 22.5798119840, 113.9265577560,4,12 
 tow, lat,lon:223086300, 22.5798119816, 113.9265577568,4,12 
 tow, lat,lon:223086400, 22.5798119817, 113.9265577589,4,12 
 tow, lat,lon:223086500, 22.5798119867, 113.9265577597,4,12 
 tow, lat,lon:223086600, 22.5798119784, 113.9265577594,4,12 
 tow, lat,lon:223086700, 22.5798119710, 113.9265577579,4,12 
 tow, lat,lon:223086800, 22.5798119782, 113.9265577487,4,12 
 tow, lat,lon:223086900, 22.5798119706, 113.9265577504,4,12 
 tow, lat,lon:223087000, 22.5798119537, 113.9265577444,4,12 
 tow, lat,lon:223087100, 22.5798119635, 113.9265577509,4,12 
 tow, lat,lon:223087200, 22.5798119577, 113.9265577469,4,12 
 tow, lat,lon:223087300, 22.5798119551, 113.9265577443,4,12 
 tow, lat,lon:223087400, 22.5798119420, 113.9265577349,4,12 
 tow, lat,lon:223087500, 22.5798119414, 113.9265577359,4,12 
 tow, lat,lon:223087600, 22.5798119462, 113.9265577369,4,12 
 tow, lat,lon:223087700, 22.5798119459, 113.9265577371,4,12 
 tow, lat,lon:223087800, 22.5798119338, 113.9265577453,4,12 
 tow, lat,lon:223087900, 22.5798119342, 113.9265577297,4,12 
 tow, lat,lon:223088000, 22.5798119357, 113.9265577367,4,12 
 tow, lat,lon:223088100, 22.5798119276, 113.9265577262,4,12 
 tow, lat,lon:223088200, 22.5798119725, 113.9265577412,4,12 
 tow, lat,lon:223088300, 22.5798119573, 113.9265577371,4,12 
 tow, lat,lon:223088400, 22.5798119698, 113.9265577383,4,12 
 tow, lat,lon:223088500, 22.5798119564, 113.9265577453,4,12 
 tow, lat,lon:223088600, 22.5798119517, 113.9265577391,4,12 
 tow, lat,lon:223088700, 22.5798119484, 113.9265577343,4,12 
 tow, lat,lon:223088800, 22.5798119447, 113.9265577415,4,12 
 tow, lat,lon:223088900, 22.5798119504, 113.9265577354,4,12 
 tow, lat,lon:223089000, 22.5798119474, 113.9265577447,4,12 
 tow, lat,lon:223089100, 22.5798119345, 113.9265577392,4,12 
 tow, lat,lon:223089200, 22.5798119388, 113.9265577346,4,12 
 tow, lat,lon:223089300, 22.5798119429, 113.9265577402,4,12 
 tow, lat,lon:223089400, 22.5798119323, 113.9265577360,4,12 
 tow, lat,lon:223089500, 22.5798119306, 113.9265577399,4,12 
 tow, lat,lon:223089600, 22.5798119281, 113.9265577408,4,12 
 tow, lat,lon:223089700, 22.5798119258, 113.9265577475,4,12 
 tow, lat,lon:223089800, 22.5798119200, 113.9265577494,4,12 
 tow, lat,lon:223089900, 22.5798119188, 113.9265577381,4,12 
 tow, lat,lon:223090000, 22.5798119247, 113.9265577422,4,12 
 tow, lat,lon:223090100, 22.5798119234, 113.9265577539,4,12 
 tow, lat,lon:223090200, 22.5798119877, 113.9265577630,4,12 
 tow, lat,lon:223090300, 22.5798119893, 113.9265577597,4,12 
 tow, lat,lon:223090400, 22.5798119880, 113.9265577567,4,12 
 tow, lat,lon:223090500, 22.5798119822, 113.9265577603,4,12 
 tow, lat,lon:223090600, 22.5798119774, 113.9265577679,4,12 
 tow, lat,lon:223090700, 22.5798119817, 113.9265577625,4,12 
 tow, lat,lon:223090800, 22.5798119790, 113.9265577699,4,12 
 tow, lat,lon:223090900, 22.5798119700, 113.9265577698,4,12 
 tow, lat,lon:223091000, 22.5798119766, 113.9265577709,4,12 
 tow, lat,lon:223091100, 22.5798119659, 113.9265577697,4,12 
 tow, lat,lon:223091200, 22.5798119658, 113.9265577721,4,12 
 tow, lat,lon:223091300, 22.5798119576, 113.9265577678,4,12 
 tow, lat,lon:223091400, 22.5798119496, 113.9265577680,4,12 
 tow, lat,lon:223091500, 22.5798119629, 113.9265577745,4,12 
 tow, lat,lon:223091600, 22.5798119595, 113.9265577763,4,12 
 tow, lat,lon:223091700, 22.5798119465, 113.9265577686,4,12 
 tow, lat,lon:223091800, 22.5798119463, 113.9265577737,4,12 
 tow, lat,lon:223091900, 22.5798119415, 113.9265577745,4,12 
 tow, lat,lon:223092000, 22.5798119906, 113.9265577462,4,12 
 tow, lat,lon:223092100, 22.5798119906, 113.9265577503,4,12 
 tow, lat,lon:223092200, 22.5798119799, 113.9265577536,4,12 
 tow, lat,lon:223092300, 22.5798119804, 113.9265577514,4,12 
 tow, lat,lon:223092400, 22.5798119748, 113.9265577557,4,12 
 tow, lat,lon:223092500, 22.5798119794, 113.9265577524,4,12 
 tow, lat,lon:223092600, 22.5798119708, 113.9265577521,4,12 
 tow, lat,lon:223092700, 22.5798119733, 113.9265577521,4,12 
 tow, lat,lon:223092800, 22.5798119733, 113.9265577491,4,12 
 tow, lat,lon:223092900, 22.5798119793, 113.9265577562,4,12 
 tow, lat,lon:223093000, 22.5798119692, 113.9265577506,4,12 
 tow, lat,lon:223093100, 22.5798119623, 113.9265577546,4,12 
 tow, lat,lon:223093200, 22.5798119773, 113.9265577463,4,12 
